position_id,symbol,entry_time,exit_time,entry_price,exit_price,profit,adverse
449015892,US500,2026-08-03 19:55:48,2026-08-04 06:13:07,7608.2300000000005,7630.6,-3.13,"{'adverse_buy': np.float64(-2.990000000000691), 'adverse_sell': np.float64(22.399999999999636)}"
449009691,BTCUSD,2026-08-03 19:44:10,2026-08-03 22:05:06,63889.450000000004,63399.53,49.0,"{'adverse_buy': np.float64(-565.4200000000055), 'adverse_sell': np.float64(86.65999999999622)}"
448976746,USTEC,2026-08-03 18:46:57,2026-08-04 05:35:34,28801.45,28950.36,-7.45,"{'adverse_buy': np.float64(-72.45999999999913), 'adverse_sell': np.float64(170.02000000000044)}"
448976291,USTEC,2026-08-03 18:45:48,2026-08-04 01:20:08,28801.48,28777.99,1.17,"{'adverse_buy': np.float64(-72.48999999999796), 'adverse_sell': np.float64(71.75)}"
448967953,BTCUSD,2026-08-03 18:25:51,2026-08-04 01:40:44,63832.25,63769.450000000004,0.63,"{'adverse_buy': np.float64(-575.4499999999971), 'adverse_sell': np.float64(206.76000000000204)}"
448926849,BTCUSD,2026-08-03 16:50:44,2026-08-03 22:05:30,63776.060000000005,63369.12,4.07,"{'adverse_buy': np.float64(-452.0300000000061), 'adverse_sell': np.float64(262.9499999999971)}"
448903772,BTCUSD,2026-08-03 16:03:35,2026-08-03 19:34:54,63805.59,64027.1,-22.15,"{'adverse_buy': np.float64(-214.63999999999942), 'adverse_sell': np.float64(233.42000000000553)}"
448903428,BTCUSD,2026-08-03 15:57:51,2026-08-03 22:18:15,63598.71,63544.79,0.54,"{'adverse_buy': np.float64(-274.6800000000003), 'adverse_sell': np.float64(440.3000000000029)}"
448823322,AUDUSD,2026-08-03 14:43:31,2026-08-03 16:32:35,0.69923,0.69972,2.45,"{'adverse_buy': np.float64(-1.0000000000065512e-05), 'adverse_sell': np.float64(0.0008299999999999974)}"
448823928,ETHUSD,2026-08-03 14:33:45,2026-08-03 14:37:58,1863.5900000000001,1863.3600000000001,-0.02,"{'adverse_buy': np.float64(-3.7200000000002547), 'adverse_sell': np.float64(4.939999999999827)}"
448823921,XAUUSD,2026-08-03 14:33:44,2026-08-03 14:36:45,4035.168,4035.534,0.36,"{'adverse_buy': np.float64(-3.3479999999999563), 'adverse_sell': np.float64(3.112999999999829)}"
448823922,XAGUSD,2026-08-03 14:33:44,2026-08-03 14:38:04,57.102000000000004,57.136,1.7,"{'adverse_buy': np.float64(-0.049000000000006594), 'adverse_sell': np.float64(0.1769999999999996)}"
448823925,BTCUSD,2026-08-03 14:33:44,2026-08-03 14:38:15,63719.15,63736.57,0.18,"{'adverse_buy': np.float64(-163.41999999999825), 'adverse_sell': np.float64(128.88999999999942)}"
448823915,BTCUSD,2026-08-03 14:33:43,2026-08-03 14:38:12,63717.98,63739.810000000005,0.22,"{'adverse_buy': np.float64(-162.25), 'adverse_sell': np.float64(130.05999999999767)}"
448823917,ETHUSD,2026-08-03 14:33:43,2026-08-03 14:37:55,1863.89,1864.05,0.02,"{'adverse_buy': np.float64(-4.020000000000209), 'adverse_sell': np.float64(4.639999999999873)}"
448823913,XAUUSD,2026-08-03 14:33:42,2026-08-03 14:36:49,4034.726,4035.481,0.75,"{'adverse_buy': np.float64(-2.905999999999949), 'adverse_sell': np.float64(3.5549999999998363)}"
448823914,XAGUSD,2026-08-03 14:33:42,2026-08-03 14:36:42,57.101000000000006,57.165,3.2,"{'adverse_buy': np.float64(-0.048000000000008924), 'adverse_sell': np.float64(0.17799999999999727)}"
448822358,AUDUSD,2026-08-03 14:31:50,2026-08-03 16:32:36,0.6993900000000001,0.6997,0.31,"{'adverse_buy': np.float64(-0.0001700000000001145), 'adverse_sell': np.float64(0.0006699999999999484)}"
448816520,US30,2026-08-03 14:24:40,2026-08-03 15:09:24,53191.600000000006,53048.0,7.18,"{'adverse_buy': np.float64(-147.60000000000582), 'adverse_sell': np.float64(27.09999999999127)}"
448801957,ETHUSD,2026-08-03 14:08:50,2026-08-03 14:19:21,1851.69,1855.45,0.38,"{'adverse_buy': np.float64(-2.759999999999991), 'adverse_sell': np.float64(6.789999999999964)}"
448801941,BTCUSD,2026-08-03 14:08:49,2026-08-03 14:19:24,63166.23,63307.51,1.42,"{'adverse_buy': np.float64(-80.9600000000064), 'adverse_sell': np.float64(264.8099999999977)}"
448801922,XAUUSD,2026-08-03 14:08:48,2026-08-03 14:19:15,4029.373,4032.6730000000002,3.3,"{'adverse_buy': np.float64(-2.813000000000102), 'adverse_sell': np.float64(6.5779999999999745)}"
448801937,XAGUSD,2026-08-03 14:08:48,2026-08-03 14:19:18,57.1,57.187000000000005,4.35,"{'adverse_buy': np.float64(-0.035000000000003695), 'adverse_sell': np.float64(0.1839999999999975)}"
448769678,US30,2026-08-03 13:36:12,2026-08-03 15:09:32,53169.600000000006,53053.0,5.83,"{'adverse_buy': np.float64(-125.60000000000582), 'adverse_sell': np.float64(111.09999999999127)}"
448764709,US30,2026-08-03 13:31:50,2026-08-03 15:41:15,53158.3,53110.9,2.37,"{'adverse_buy': np.float64(-131.20000000000437), 'adverse_sell': np.float64(122.39999999999418)}"
448762438,XAUUSD,2026-08-03 13:29:22,2026-08-03 13:42:02,4033.322,4032.113,1.21,"{'adverse_buy': np.float64(-14.277000000000044), 'adverse_sell': np.float64(2.3739999999997963)}"
448246207,BTCUSD,2026-08-02 13:05:17,2026-08-02 13:20:10,63056.58,63008.85,4.77,"{'adverse_buy': np.float64(-74.22000000000116), 'adverse_sell': np.float64(15.119999999995343)}"
447479817,US30,2026-07-31 02:54:10,2026-07-31 07:12:21,52436.3,52544.8,-5.43,"{'adverse_buy': np.float64(-23.900000000001455), 'adverse_sell': np.float64(140.09999999999854)}"
447479792,US30,2026-07-31 02:53:58,2026-07-31 10:35:08,52436.3,52595.7,-7.97,"{'adverse_buy': np.float64(-23.900000000001455), 'adverse_sell': np.float64(167.59999999999854)}"
445539530,XAUUSD,2026-07-28 20:00:30,2026-07-28 22:24:43,4024.987,4017.805,-35.91,"{'adverse_buy': np.float64(-7.492999999999938), 'adverse_sell': np.float64(5.598999999999705)}"
445538113,US30,2026-07-28 19:51:13,2026-07-29 02:47:25,52828.4,52782.6,2.29,"{'adverse_buy': np.float64(-131.09999999999854), 'adverse_sell': np.float64(72.90000000000146)}"
445424541,US30,2026-07-28 16:11:16,2026-07-29 02:47:25,52920.4,52782.6,6.89,"{'adverse_buy': np.float64(-223.09999999999854), 'adverse_sell': np.float64(48.900000000001455)}"
445385755,US30,2026-07-28 15:25:49,2026-07-28 15:26:10,52846.3,52861.1,-1.48,"{'adverse_buy': np.float64(-36.0), 'adverse_sell': np.float64(44.0)}"
445316033,US30,2026-07-28 14:24:11,2026-07-28 15:20:17,52711.4,52825.5,-5.71,"{'adverse_buy': np.float64(-130.0), 'adverse_sell': np.float64(178.90000000000146)}"
445280155,US30,2026-07-28 13:50:01,2026-07-28 15:20:02,52631.4,52805.9,-8.73,"{'adverse_buy': np.float64(-81.0), 'adverse_sell': np.float64(258.90000000000146)}"
445266393,US30,2026-07-28 13:35:23,2026-07-28 13:41:39,52658.4,52550.700000000004,5.39,"{'adverse_buy': np.float64(-180.09999999999854), 'adverse_sell': np.float64(4.0)}"
445263996,US30,2026-07-28 13:30:57,2026-07-28 14:15:35,52630.8,52706.6,-0.76,"{'adverse_buy': np.float64(-152.5), 'adverse_sell': np.float64(106.5)}"
445252399,XAUUSD,2026-07-28 13:20:45,2026-07-28 13:22:27,4033.607,4035.714,2.1,"{'adverse_buy': np.float64(-5.219000000000051), 'adverse_sell': np.float64(2.650000000000091)}"
442884842,AUDUSD,2026-07-23 14:30:01,2026-07-23 14:33:03,0.69765,0.69741,-0.24,"{'adverse_buy': np.float64(-0.00027999999999994696), 'adverse_sell': np.float64(0.00024999999999997247)}"
442878920,USOIL,2026-07-23 14:23:23,2026-07-23 14:33:03,90.34,90.856,-258.0,"{'adverse_buy': np.float64(-0.1490000000000009), 'adverse_sell': np.float64(0.5949999999999989)}"
